Customer ID,Total Amount,Quantity,Age,Cluster
CUST136,600,2,44.0,0
CUST137,1000,2,46.0,1
CUST138,200,4,49.0,0
CUST139,2000,4,36.0,2
CUST140,30,1,38.0,0
CUST141,50,1,22.0,0
CUST142,1200,4,35.0,1
CUST143,50,1,45.0,0
CUST144,1500,3,59.0,1
CUST145,75,3,39.0,0
CUST146,200,4,38.0,0
CUST147,300,1,23.0,0
CUST148,60,2,18.0,0
CUST149,75,3,22.0,0
CUST150,120,4,58.0,0
CUST151,50,1,29.0,0
CUST152,2000,4,43.0,2
CUST153,1000,2,63.0,1
CUST154,900,3,51.0,1
CUST155,2000,4,31.0,2
CUST156,100,4,43.0,0
CUST157,2000,4,62.0,2
CUST158,600,2,44.0,0
CUST159,200,4,26.0,0
CUST160,100,2,43.0,0
CUST161,1000,2,64.0,1
CUST162,60,2,39.0,0
CUST163,150,3,64.0,0
CUST164,1500,3,47.0,1
CUST165,1200,4,60.0,1
CUST166,2000,4,34.0,2
CUST167,150,3,43.0,0
CUST168,300,1,53.0,0
CUST169,1500,3,18.0,1
CUST170,50,2,25.0,0
CUST171,900,3,52.0,1
CUST172,50,2,32.0,0
CUST173,120,4,64.0,0
CUST174,300,1,39.0,0
CUST175,100,4,31.0,0
CUST176,100,2,43.0,0
CUST177,100,2,45.0,0
CUST178,60,2,40.0,0
CUST179,300,1,31.0,0
CUST180,900,3,41.0,1
CUST181,1200,4,19.0,1
CUST182,120,4,62.0,0
CUST183,900,3,43.0,1
CUST184,200,4,31.0,0
CUST185,25,1,24.0,0
CUST186,200,4,20.0,0
CUST187,100,2,64.0,0
CUST188,75,3,40.0,0
CUST189,50,1,63.0,0
CUST190,90,3,60.0,0
CUST191,25,1,64.0,0
CUST192,100,2,62.0,0
CUST193,1500,3,35.0,1
CUST194,200,4,55.0,0
CUST195,30,1,52.0,0
CUST196,900,3,32.0,1
CUST197,200,4,42.0,0
CUST198,900,3,54.0,1
CUST199,1500,3,45.0,1
CUST200,150,3,27.0,0
CUST201,25,1,56.0,0
CUST202,1200,4,34.0,1
CUST203,1000,2,56.0,1
CUST204,25,1,39.0,0
CUST205,25,1,43.0,0
CUST206,25,1,61.0,0
CUST207,50,2,42.0,0
CUST208,200,4,34.0,0
CUST209,200,4,30.0,0
CUST210,200,4,37.0,0
CUST211,1500,3,42.0,1
CUST212,1500,3,21.0,1
CUST213,1500,3,27.0,1
CUST214,60,2,20.0,0
CUST215,1500,3,58.0,1
CUST216,100,2,62.0,0
CUST217,200,4,35.0,0
CUST218,90,3,64.0,0
CUST219,90,3,53.0,0
CUST220,500,1,64.0,0
CUST221,600,2,39.0,0
CUST222,120,4,51.0,0
CUST223,25,1,64.0,0
CUST224,50,1,25.0,0
CUST225,100,4,57.0,0
CUST226,50,1,61.0,0
CUST227,100,2,36.0,0
CUST228,60,2,59.0,0
CUST229,90,3,58.0,0
CUST230,25,1,54.0,0
CUST231,150,3,23.0,0
CUST232,25,1,43.0,0
CUST233,600,2,51.0,0
CUST234,50,2,62.0,0
CUST235,1000,2,23.0,1
CUST236,25,1,54.0,0
CUST237,1000,2,50.0,1
CUST238,500,1,39.0,0
CUST239,1500,3,38.0,1
CUST240,300,1,23.0,0
CUST241,75,3,23.0,0
CUST242,25,1,21.0,0
CUST243,900,3,47.0,1
CUST244,100,2,28.0,0
CUST245,90,3,47.0,0
CUST246,50,2,48.0,0
CUST247,60,2,41.0,0
CUST248,900,3,26.0,1
CUST249,50,1,20.0,0
CUST250,50,1,48.0,0
CUST251,200,4,57.0,0
CUST252,300,1,54.0,0
CUST253,2000,4,53.0,2
CUST254,500,1,41.0,0
CUST255,30,1,48.0,0
CUST256,1000,2,23.0,1
CUST257,2000,4,19.0,2
CUST258,50,1,37.0,0
CUST259,200,4,45.0,0
CUST260,60,2,28.0,0
CUST261,50,2,21.0,0
CUST262,120,4,32.0,0
CUST263,60,2,23.0,0
CUST264,900,3,47.0,1
CUST265,900,3,55.0,1
CUST266,60,2,19.0,0
CUST267,90,3,32.0,0
CUST268,30,1,28.0,0
CUST269,2000,4,25.0,2
CUST270,300,1,43.0,0
CUST271,120,4,62.0,0
CUST272,100,2,61.0,0
CUST273,50,1,22.0,0
CUST274,1000,2,23.0,1
CUST275,1000,2,43.0,1
CUST276,100,4,21.0,0
CUST277,100,4,36.0,0
CUST278,100,4,37.0,0
CUST279,500,1,50.0,0
CUST280,1500,3,37.0,1
CUST281,2000,4,29.0,2
CUST282,200,4,64.0,0
CUST283,500,1,18.0,0
CUST284,200,4,43.0,0
CUST285,25,1,31.0,0
CUST286,50,2,55.0,0
CUST287,100,4,54.0,0
CUST288,120,4,28.0,0
CUST289,60,2,53.0,0
CUST290,600,2,30.0,0
CUST291,600,2,60.0,0
CUST292,1200,4,20.0,1
CUST293,90,3,50.0,0
CUST294,90,3,23.0,0
CUST295,900,3,27.0,1
CUST296,1200,4,22.0,1
CUST297,1000,2,40.0,1
CUST298,1200,4,27.0,1
CUST299,1000,2,61.0,1
CUST300,200,4,19.0,0
CUST301,120,4,30.0,0
CUST302,600,2,57.0,0
CUST303,90,3,19.0,0
CUST304,60,2,37.0,0
CUST305,30,1,18.0,0
CUST306,50,1,54.0,0
CUST307,50,2,26.0,0
CUST308,1200,4,34.0,1
CUST309,25,1,26.0,0
CUST310,25,1,28.0,0
CUST311,100,4,32.0,0
CUST312,120,4,41.0,0
CUST313,1500,3,55.0,1
CUST314,120,4,52.0,0
CUST315,60,2,47.0,0
CUST316,50,2,48.0,0
CUST317,90,3,22.0,0
CUST318,25,1,61.0,0
CUST319,500,1,31.0,0
CUST320,1200,4,28.0,1
CUST321,50,2,26.0,0
CUST322,500,1,51.0,0
CUST323,900,3,29.0,1
CUST324,150,3,52.0,0
CUST325,50,2,52.0,0
CUST326,75,3,18.0,0
CUST327,150,3,57.0,0
CUST328,100,2,39.0,0
CUST329,100,4,46.0,0
CUST330,200,4,25.0,0
CUST331,90,3,28.0,0
CUST332,1200,4,58.0,1
CUST333,1200,4,54.0,1
CUST334,900,3,31.0,1
CUST335,120,4,47.0,0
CUST336,150,3,52.0,0
CUST337,500,1,38.0,0
CUST338,100,2,54.0,0
CUST339,50,2,22.0,0
CUST340,1200,4,36.0,1
CUST341,200,4,31.0,0
CUST342,2000,4,43.0,2
CUST343,50,2,21.0,0
CUST344,30,1,42.0,0
CUST345,30,1,62.0,0
CUST346,1000,2,59.0,1
CUST347,25,1,42.0,0
CUST348,600,2,35.0,0
CUST349,50,1,57.0,0
CUST350,75,3,25.0,0
CUST351,90,3,56.0,0
CUST352,1000,2,57.0,1
CUST353,500,1,31.0,0
CUST354,200,4,49.0,0
CUST355,500,1,55.0,0
CUST356,1500,3,50.0,1
CUST357,75,3,40.0,0
CUST358,300,1,32.0,0
CUST359,50,1,50.0,0
CUST360,100,4,42.0,0
CUST361,1200,4,34.0,1
CUST362,25,1,50.0,0
CUST363,25,1,64.0,0
CUST364,500,1,19.0,0
CUST365,300,1,31.0,0
CUST366,100,2,57.0,0
CUST367,50,1,57.0,0
CUST368,1200,4,56.0,1
CUST369,1500,3,23.0,1
CUST370,60,2,23.0,0
CUST371,25,1,20.0,0
CUST372,1500,3,24.0,1
CUST373,600,2,25.0,0
CUST374,75,3,59.0,0
CUST375,50,1,32.0,0
CUST376,30,1,64.0,0
CUST377,200,4,46.0,0
CUST378,300,1,50.0,0
CUST379,25,1,47.0,0
CUST380,600,2,56.0,0
CUST381,100,4,44.0,0
CUST382,1000,2,53.0,1
CUST383,90,3,46.0,0
CUST384,500,1,55.0,0
CUST385,1500,3,50.0,1
CUST386,600,2,54.0,0
CUST387,30,1,44.0,0
CUST388,25,1,50.0,0
CUST389,50,2,21.0,0
CUST390,100,2,39.0,0
CUST391,50,2,19.0,0
CUST392,600,2,27.0,0
CUST393,1000,2,22.0,1
CUST394,500,1,27.0,0
CUST395,1000,2,50.0,1
CUST396,30,1,55.0,0
CUST397,25,1,30.0,0
CUST398,600,2,48.0,0
CUST399,60,2,64.0,0
CUST400,200,4,53.0,0
CUST401,300,1,62.0,0
CUST402,600,2,41.0,0
CUST403,600,2,32.0,0
CUST404,1000,2,46.0,1
CUST405,1200,4,25.0,1
CUST406,100,4,22.0,0
CUST407,900,3,46.0,1
CUST408,500,1,64.0,0
CUST409,900,3,21.0,1
CUST410,100,2,29.0,0
CUST411,200,4,62.0,0
CUST412,2000,4,19.0,2
CUST413,75,3,44.0,0
CUST414,100,4,48.0,0
CUST415,60,2,53.0,0
CUST416,2000,4,53.0,2
CUST417,900,3,43.0,1
CUST418,1000,2,60.0,1
CUST419,90,3,44.0,0
CUST420,2000,4,22.0,2
CUST421,1500,3,37.0,1
CUST422,90,3,28.0,0
CUST423,25,1,27.0,0
CUST424,1200,4,57.0,1
CUST425,120,4,55.0,0
CUST426,150,3,23.0,0
CUST427,25,1,25.0,0
CUST428,200,4,40.0,0
CUST429,50,2,64.0,0
CUST430,900,3,43.0,1
CUST431,1200,4,63.0,1
CUST432,1000,2,60.0,1
CUST433,200,4,29.0,0
CUST434,50,2,43.0,0
CUST435,900,3,30.0,1
CUST436,120,4,57.0,0
CUST437,1200,4,35.0,1
CUST438,30,1,42.0,0
CUST439,75,3,50.0,0
CUST440,600,2,64.0,0
CUST441,1200,4,57.0,1
CUST442,100,4,60.0,0
CUST443,600,2,29.0,0
CUST444,90,3,61.0,0
CUST445,300,1,53.0,0
CUST446,50,1,21.0,0
CUST447,2000,4,22.0,2
CUST448,60,2,54.0,0
CUST449,200,4,25.0,0
CUST450,50,2,59.0,0
CUST451,30,1,45.0,0
CUST452,1500,3,48.0,1
CUST453,1000,2,26.0,1
CUST454,25,1,46.0,0
CUST455,100,4,31.0,0
CUST456,60,2,57.0,0
CUST457,900,3,58.0,1
CUST458,100,4,39.0,0
CUST459,1200,4,28.0,1
CUST460,50,1,40.0,0
CUST461,1000,2,18.0,1
CUST462,1200,4,63.0,1
CUST463,1500,3,54.0,1
CUST464,600,2,38.0,0
CUST465,150,3,43.0,0
CUST466,100,4,63.0,0
CUST467,150,3,53.0,0
CUST468,25,1,40.0,0
CUST469,75,3,18.0,0
CUST470,1000,2,57.0,1
CUST471,150,3,32.0,0
CUST472,900,3,38.0,1
CUST473,50,1,64.0,0
CUST474,1500,3,26.0,1
CUST475,75,3,26.0,0
CUST476,2000,4,27.0,2
CUST477,120,4,43.0,0
CUST478,60,2,58.0,0
CUST479,1200,4,52.0,1
CUST480,2000,4,42.0,2
CUST481,1200,4,43.0,1
CUST482,1200,4,28.0,1
CUST483,30,1,55.0,0
CUST484,1200,4,19.0,1
CUST485,30,1,24.0,0
CUST486,25,1,35.0,0
CUST487,2000,4,44.0,2
CUST488,900,3,51.0,1
CUST489,30,1,44.0,0
CUST490,150,3,34.0,0
CUST491,900,3,60.0,1
CUST492,100,4,61.0,0
CUST493,50,2,41.0,0
CUST494,200,4,42.0,0
CUST495,60,2,24.0,0
CUST496,600,2,23.0,0
CUST497,120,4,41.0,0
CUST498,100,4,50.0,0
CUST499,60,2,46.0,0
CUST500,100,4,60.0,0
CUST501,60,2,39.0,0
CUST502,150,3,43.0,0
CUST503,2000,4,45.0,2
CUST504,150,3,38.0,0
CUST505,50,1,24.0,0
CUST506,1500,3,34.0,1
CUST507,1500,3,37.0,1
CUST508,600,2,58.0,0
CUST509,900,3,37.0,1
CUST510,200,4,39.0,0
CUST511,100,2,45.0,0
CUST512,25,1,57.0,0
CUST513,100,4,24.0,0
CUST514,300,1,18.0,0
CUST515,900,3,49.0,1
CUST516,100,4,30.0,0
CUST517,100,4,47.0,0
CUST518,30,1,40.0,0
CUST519,120,4,36.0,0
CUST520,100,4,49.0,0
CUST521,120,4,47.0,0
CUST522,1500,3,46.0,1
CUST523,300,1,62.0,0
CUST524,1200,4,46.0,1
CUST525,50,2,47.0,0
CUST526,100,2,33.0,0
CUST527,50,2,57.0,0
CUST528,60,2,36.0,0
CUST529,150,3,35.0,0
CUST530,120,4,18.0,0
CUST531,500,1,31.0,0
CUST532,120,4,64.0,0
CUST533,1500,3,19.0,1
CUST534,1000,2,45.0,1
CUST535,90,3,47.0,0
CUST536,120,4,55.0,0
CUST537,500,1,21.0,0
CUST538,150,3,18.0,0
CUST539,500,1,25.0,0
CUST540,900,3,46.0,1
CUST541,500,1,56.0,0
CUST542,50,1,20.0,0
CUST543,600,2,49.0,0
CUST544,25,1,27.0,0
CUST545,50,2,27.0,0
CUST546,200,4,36.0,0
CUST547,2000,4,63.0,2
CUST548,60,2,51.0,0
CUST549,100,2,50.0,0
CUST550,900,3,40.0,1
CUST551,900,3,45.0,1
CUST552,75,3,49.0,0
CUST553,1200,4,24.0,1
CUST554,150,3,46.0,0
CUST555,300,1,25.0,0
CUST556,50,1,18.0,0
CUST557,90,3,20.0,0
CUST558,25,1,41.0,0
CUST559,1200,4,40.0,1
CUST560,50,1,25.0,0
CUST561,2000,4,64.0,2
CUST562,50,2,54.0,0
CUST563,60,2,20.0,0
CUST564,100,2,50.0,0
CUST565,60,2,45.0,0
CUST566,30,1,64.0,0
CUST567,900,3,25.0,1
CUST568,300,1,51.0,0
CUST569,200,4,52.0,0
CUST570,500,1,49.0,0
CUST571,50,1,41.0,0
CUST572,2000,4,31.0,2
CUST573,60,2,49.0,0
CUST574,50,2,63.0,0
CUST575,100,2,60.0,0
CUST576,150,3,33.0,0
CUST577,2000,4,21.0,2
CUST578,120,4,54.0,0
CUST579,30,1,38.0,0
CUST580,1500,3,31.0,1
CUST581,60,2,48.0,0
CUST582,900,3,35.0,1
CUST583,100,4,24.0,0
CUST584,200,4,27.0,0
CUST585,25,1,24.0,0
CUST586,50,1,50.0,0
CUST587,1200,4,40.0,1
CUST588,60,2,38.0,0
CUST589,1000,2,36.0,1
CUST590,900,3,36.0,1
CUST591,100,4,53.0,0
CUST592,2000,4,46.0,2
CUST593,60,2,35.0,0
CUST594,600,2,19.0,0
CUST595,2000,4,18.0,2
CUST596,300,1,64.0,0
CUST597,1200,4,22.0,1
CUST598,120,4,37.0,0
CUST599,100,2,28.0,0
CUST600,1000,2,59.0,1
CUST601,30,1,19.0,0
CUST602,300,1,20.0,0
CUST603,90,3,40.0,0
CUST604,200,4,29.0,0
CUST605,1000,2,37.0,1
CUST606,50,1,22.0,0
CUST607,75,3,54.0,0
CUST608,1500,3,55.0,1
CUST609,100,2,47.0,0
CUST610,600,2,26.0,0
CUST611,1500,3,51.0,1
CUST612,500,1,61.0,0
CUST613,90,3,52.0,0
CUST614,1200,4,39.0,1
CUST615,100,4,61.0,0
CUST616,100,2,41.0,0
CUST617,30,1,34.0,0
CUST618,50,1,27.0,0
CUST619,100,4,47.0,0
CUST620,75,3,63.0,0
CUST621,1000,2,40.0,1
CUST622,75,3,49.0,0
CUST623,150,3,34.0,0
CUST624,900,3,34.0,1
CUST625,300,1,31.0,0
CUST626,2000,4,26.0,2
CUST627,50,1,57.0,0
CUST628,200,4,19.0,0
CUST629,50,2,62.0,0
CUST630,100,2,42.0,0
CUST631,90,3,56.0,0
CUST632,100,4,26.0,0
CUST633,120,4,39.0,0
CUST634,2000,4,60.0,2
CUST635,900,3,63.0,1
CUST636,1500,3,21.0,1
CUST637,600,2,43.0,0
CUST638,500,1,46.0,0
CUST639,200,4,62.0,0
CUST640,120,4,51.0,0
CUST641,300,1,40.0,0
CUST642,100,4,54.0,0
CUST643,90,3,28.0,0
CUST644,75,3,23.0,0
CUST645,120,4,35.0,0
CUST646,90,3,38.0,0
CUST647,1500,3,59.0,1
CUST648,1200,4,53.0,1
CUST649,600,2,58.0,0
CUST650,30,1,55.0,0
CUST651,150,3,51.0,0
CUST652,100,2,34.0,0
CUST653,75,3,54.0,0
CUST654,75,3,42.0,0
CUST655,500,1,55.0,0
CUST656,90,3,29.0,0
CUST657,25,1,40.0,0
CUST658,25,1,59.0,0
CUST659,30,1,39.0,0
CUST660,1000,2,38.0,1
CUST661,100,4,44.0,0
CUST662,1000,2,48.0,1
CUST663,1200,4,23.0,1
CUST664,2000,4,44.0,2
CUST665,50,1,57.0,0
CUST666,150,3,51.0,0
CUST667,500,1,29.0,0
CUST668,150,3,62.0,0
CUST669,1200,4,24.0,1
CUST670,30,1,27.0,0
CUST671,150,3,62.0,0
CUST672,100,2,34.0,0
CUST673,1500,3,43.0,1
CUST674,300,1,38.0,0
CUST675,60,2,45.0,0
CUST676,1500,3,63.0,1
CUST677,1500,3,19.0,1
CUST678,900,3,60.0,1
CUST679,90,3,18.0,0
CUST680,900,3,53.0,1
CUST681,60,2,43.0,0
CUST682,1200,4,46.0,1
CUST683,1000,2,38.0,1
CUST684,1000,2,28.0,1
CUST685,50,2,57.0,0
CUST686,200,4,28.0,0
CUST687,300,1,53.0,0
CUST688,100,4,56.0,0
CUST689,100,2,57.0,0
CUST690,900,3,52.0,1
CUST691,90,3,51.0,0
CUST692,100,2,64.0,0
CUST693,1500,3,41.0,1
CUST694,50,2,39.0,0
CUST695,150,3,22.0,0
CUST696,200,4,50.0,0
CUST697,500,1,53.0,0
CUST698,300,1,64.0,0
CUST699,120,4,37.0,0
CUST700,2000,4,36.0,2
CUST701,60,2,52.0,0
CUST702,600,2,60.0,0
CUST703,100,2,34.0,0
CUST704,90,3,62.0,0
CUST705,50,2,60.0,0
CUST706,100,4,51.0,0
CUST707,500,1,26.0,0
CUST708,900,3,43.0,1
CUST709,1000,2,19.0,1
CUST710,1500,3,26.0,1
CUST711,1500,3,26.0,1
CUST712,50,2,57.0,0
CUST713,75,3,34.0,0
CUST714,500,1,18.0,0
CUST715,100,4,42.0,0
CUST716,1200,4,60.0,1
CUST717,500,1,57.0,0
CUST718,75,3,59.0,0
CUST719,60,2,42.0,0
CUST720,1500,3,56.0,1
CUST721,500,1,52.0,0
CUST722,900,3,20.0,1
CUST723,200,4,54.0,0
CUST724,150,3,61.0,0
CUST725,300,1,61.0,0
CUST726,1200,4,47.0,1
CUST727,900,3,55.0,1
CUST728,150,3,51.0,0
CUST729,1200,4,29.0,1
CUST730,50,2,36.0,0
CUST731,2000,4,54.0,2
CUST732,1000,2,61.0,1
CUST733,30,1,34.0,0
CUST734,30,1,27.0,0
CUST735,2000,4,64.0,2
CUST736,100,4,29.0,0
CUST737,50,1,33.0,0
CUST738,100,2,41.0,0
CUST739,25,1,36.0,0
CUST740,200,4,25.0,0
CUST741,300,1,48.0,0
CUST742,2000,4,38.0,2
CUST743,2000,4,34.0,2
CUST744,25,1,40.0,0
CUST745,100,2,54.0,0
CUST746,90,3,33.0,0
CUST747,30,1,23.0,0
CUST748,150,3,25.0,0
CUST749,30,1,42.0,0
CUST750,75,3,35.0,0
CUST751,50,2,42.0,0
CUST752,100,2,29.0,0
CUST753,30,1,32.0,0
CUST754,100,4,43.0,0
CUST755,75,3,58.0,0
CUST756,1200,4,62.0,1
CUST757,1200,4,43.0,1
CUST758,100,4,64.0,0
CUST759,100,2,49.0,0
CUST760,500,1,27.0,0
CUST761,500,1,33.0,0
CUST762,50,2,24.0,0
CUST763,50,2,34.0,0
CUST764,25,1,40.0,0
CUST765,200,4,43.0,0
CUST766,900,3,38.0,1
CUST767,75,3,39.0,0
CUST768,75,3,24.0,0
CUST769,120,4,31.0,0
CUST770,50,1,32.0,0
CUST771,50,2,24.0,0
CUST772,30,1,26.0,0
CUST773,2000,4,25.0,2
CUST774,50,2,40.0,0
CUST775,100,4,46.0,0
CUST776,90,3,35.0,0
CUST777,150,3,48.0,0
CUST778,100,4,47.0,0
CUST779,1000,2,56.0,1
CUST780,50,2,52.0,0
CUST781,500,1,35.0,0
CUST782,900,3,59.0,1
CUST783,300,1,56.0,0
CUST784,500,1,34.0,0
CUST785,200,4,31.0,0
CUST786,100,4,48.0,0
CUST787,25,1,41.0,0
CUST788,900,3,52.0,1
CUST789,2000,4,61.0,2
CUST790,25,1,62.0,0
CUST791,25,1,51.0,0
CUST792,50,1,20.0,0
CUST793,30,1,54.0,0
CUST794,300,1,60.0,0
CUST795,300,1,57.0,0
CUST796,120,4,43.0,0
CUST797,75,3,40.0,0
CUST798,50,1,61.0,0
CUST799,100,2,56.0,0
CUST800,1200,4,32.0,1
CUST801,200,4,21.0,0
CUST802,30,1,46.0,0
CUST803,100,4,39.0,0
CUST804,30,1,42.0,0
CUST805,1500,3,30.0,1
CUST806,900,3,35.0,1
CUST807,200,4,50.0,0
CUST808,2000,4,33.0,2
CUST809,100,2,62.0,0
CUST810,100,4,59.0,0
CUST811,50,2,61.0,0
CUST812,75,3,19.0,0
CUST813,150,3,52.0,0
CUST814,500,1,59.0,0
CUST815,75,3,51.0,0
CUST816,1000,2,47.0,1
CUST817,200,4,30.0,0
CUST818,500,1,30.0,0
CUST819,100,2,35.0,0
CUST820,200,4,49.0,0
CUST821,300,1,49.0,0
CUST822,150,3,52.0,0
CUST823,100,2,56.0,0
CUST824,120,4,63.0,0
CUST825,25,1,46.0,0
CUST826,300,1,46.0,0
CUST827,900,3,61.0,1
CUST828,1200,4,33.0,1
CUST829,90,3,61.0,0
CUST830,150,3,64.0,0
CUST831,100,4,27.0,0
CUST832,2000,4,47.0,2
CUST833,200,4,42.0,0
CUST834,60,2,56.0,0
CUST835,200,4,37.0,0
CUST836,50,1,22.0,0
CUST837,90,3,18.0,0
CUST838,600,2,47.0,0
CUST839,1200,4,20.0,1
CUST840,50,2,62.0,0
CUST841,100,4,31.0,0
CUST842,600,2,47.0,0
CUST843,1500,3,21.0,1
CUST844,150,3,35.0,0
CUST845,500,1,54.0,0
CUST846,50,1,42.0,0
CUST847,1200,4,18.0,1
CUST848,75,3,63.0,0
CUST849,50,2,32.0,0
CUST850,1000,2,26.0,1
CUST851,50,2,32.0,0
CUST852,300,1,41.0,0
CUST853,1000,2,21.0,1
CUST854,50,1,29.0,0
CUST855,25,1,54.0,0
CUST856,120,4,54.0,0
CUST857,50,2,60.0,0
CUST858,100,2,23.0,0
CUST859,1500,3,56.0,1
CUST860,200,4,63.0,0
CUST861,90,3,41.0,0
CUST862,1200,4,28.0,1
CUST863,50,2,30.0,0
CUST864,500,1,51.0,0
CUST865,300,1,42.0,0
CUST866,50,1,24.0,0
CUST867,500,1,21.0,0
CUST868,300,1,25.0,0
CUST869,1500,3,37.0,1
CUST870,120,4,46.0,0
CUST871,60,2,62.0,0
CUST872,75,3,63.0,0
CUST873,100,4,27.0,0
CUST874,30,1,60.0,0
CUST875,2000,4,51.0,2
CUST876,120,4,43.0,0
CUST877,25,1,58.0,0
CUST878,30,1,20.0,0
CUST879,30,1,23.0,0
CUST880,1000,2,22.0,1
CUST881,300,1,22.0,0
CUST882,50,2,64.0,0
CUST883,500,1,40.0,0
CUST884,60,2,26.0,0
CUST885,120,4,52.0,0
CUST886,900,3,37.0,1
CUST887,100,4,59.0,0
CUST888,100,4,52.0,0
CUST889,50,1,35.0,0
CUST890,50,2,34.0,0
CUST891,900,3,41.0,1
CUST892,50,1,20.0,0
CUST893,50,1,49.0,0
CUST894,30,1,52.0,0
CUST895,120,4,55.0,0
CUST896,50,2,30.0,0
CUST897,100,2,64.0,0
CUST898,90,3,42.0,0
CUST899,600,2,26.0,0
CUST900,60,2,21.0,0
CUST901,30,1,31.0,0
CUST902,50,1,54.0,0
CUST903,200,4,51.0,0
CUST904,500,1,28.0,0
CUST905,300,1,58.0,0
CUST906,50,1,20.0,0
CUST907,25,1,45.0,0
CUST908,1200,4,46.0,1
CUST909,300,1,26.0,0
CUST910,150,3,20.0,0
CUST911,900,3,42.0,1
CUST912,150,3,51.0,0
CUST913,90,3,29.0,0
CUST914,500,1,59.0,0
CUST915,90,3,26.0,0
CUST916,50,1,32.0,0
